Problem,FullTime,GBSize,minGBSize,critPairs,zeroRed,maxDeg,maxCoord,BaBTime
10,0.095,182,182,2826,2654,0.002,9,5
10,0.042,134,134,1806,1682,0.001,6,5
10,0.027,113,113,1341,1238,0.0,5,3
10,0.11,194,194,3733,3549,0.001,9,5
10,0.007,72,72,579,517,0.0,5,4
10,0.059,182,182,2826,2654,0.0,9,5
10,0.028,134,134,1806,1682,0.001,6,5
10,0.017,113,113,1341,1238,0.001,5,3
10,0.113,194,194,3733,3549,0.001,9,5
10,0.006,72,72,579,517,0.001,5,4
10,0.057,182,182,2826,2654,0.0,9,5
10,0.028,134,134,1806,1682,0.001,6,5
10,0.018,113,113,1341,1238,0.001,5,3
10,0.078,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.055,182,182,2826,2654,0.001,9,5
10,0.026,134,134,1806,1682,0.0,6,5
10,0.016,113,113,1341,1238,0.001,5,3
10,0.073,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.054,182,182,2826,2654,0.001,9,5
10,0.026,134,134,1806,1682,0.0,6,5
10,0.018,113,113,1341,1238,0.0,5,3
10,0.077,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.056,182,182,2826,2654,0.001,9,5
10,0.026,134,134,1806,1682,0.001,6,5
10,0.015,113,113,1341,1238,0.001,5,3
10,0.075,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.001,5,4
10,0.055,182,182,2826,2654,0.0,9,5
10,0.027,134,134,1806,1682,0.0,6,5
10,0.016,113,113,1341,1238,0.0,5,3
10,0.074,194,194,3733,3549,0.001,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.054,182,182,2826,2654,0.0,9,5
10,0.027,134,134,1806,1682,0.0,6,5
10,0.017,113,113,1341,1238,0.0,5,3
10,0.076,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.001,5,4
10,0.055,182,182,2826,2654,0.001,9,5
10,0.027,134,134,1806,1682,0.001,6,5
10,0.016,113,113,1341,1238,0.0,5,3
10,0.076,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.055,182,182,2826,2654,0.001,9,5
10,0.027,134,134,1806,1682,0.001,6,5
10,0.016,113,113,1341,1238,0.001,5,3
10,0.076,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.057,182,182,2826,2654,0.0,9,5
10,0.027,134,134,1806,1682,0.0,6,5
10,0.016,113,113,1341,1238,0.0,5,3
10,0.079,194,194,3733,3549,0.0,9,5
10,0.005,72,72,579,517,0.001,5,4
10,0.054,182,182,2826,2654,0.001,9,5
10,0.027,134,134,1806,1682,0.0,6,5
10,0.016,113,113,1341,1238,0.001,5,3
10,0.077,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.055,182,182,2826,2654,0.0,9,5
10,0.027,134,134,1806,1682,0.0,6,5
10,0.017,113,113,1341,1238,0.0,5,3
10,0.075,194,194,3733,3549,0.0,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.054,182,182,2826,2654,0.0,9,5
10,0.025,134,134,1806,1682,0.001,6,5
10,0.016,113,113,1341,1238,0.0,5,3
10,0.075,194,194,3733,3549,0.001,9,5
10,0.006,72,72,579,517,0.0,5,4
10,0.054,182,182,2826,2654,0.0,9,5
10,0.027,134,134,1806,1682,0.0,6,5
10,0.016,113,113,1341,1238,0.0,5,3
10,0.074,194,194,3733,3549,0.0,9,5
10,0.005,72,72,579,517,0.0,5,4
10,0.053,182,182,2826,2654,0.001,9,5
10,0.026,134,134,1806,1682,0.001,6,5
10,0.017,113,113,1341,1238,0.0,5,3
10,0.074,194,194,3733,3549,0.0,9,5
10,0.005,72,72,579,517,0.001,5,4
11,0.1,211,211,4311,4111,0.0,9,5
11,0.079,206,206,3895,3700,0.001,8,5
11,0.175,302,302,6433,6142,0.001,8,5
11,0.1,245,245,4875,4641,0.001,7,4
11,0.037,147,147,2133,1997,0.001,7,4
11,0.098,211,211,4311,4111,0.001,9,5
11,0.08,206,206,3895,3700,0.0,8,5
11,0.174,302,302,6433,6142,0.001,8,5
11,0.1,245,245,4875,4641,0.001,7,4
11,0.038,147,147,2133,1997,0.001,7,4
11,0.101,211,211,4311,4111,0.0,9,5
11,0.079,206,206,3895,3700,0.0,8,5
11,0.174,302,302,6433,6142,0.0,8,5
11,0.101,245,245,4875,4641,0.001,7,4
11,0.038,147,147,2133,1997,0.001,7,4
11,0.099,211,211,4311,4111,0.001,9,5
11,0.079,206,206,3895,3700,0.0,8,5
11,0.176,302,302,6433,6142,0.0,8,5
11,0.101,245,245,4875,4641,0.001,7,4
11,0.038,147,147,2133,1997,0.0,7,4
12,0.114,250,250,4534,4296,0.001,7,5
12,0.123,247,247,4953,4718,0.0,9,5
12,0.203,295,295,6572,6289,0.0,9,5
12,0.302,391,391,9513,9134,0.001,7,4
12,0.051,172,172,2627,2467,0.001,9,5
12,0.112,250,250,4534,4296,0.0,7,5
12,0.126,247,247,4953,4718,0.0,9,5
12,0.204,295,295,6572,6289,0.0,9,5
12,0.301,391,391,9513,9134,0.0,7,4
12,0.05,172,172,2627,2467,0.001,9,5
12,0.113,250,250,4534,4296,0.0,7,5
12,0.123,247,247,4953,4718,0.0,9,5
12,0.205,295,295,6572,6289,0.0,9,5
12,0.303,391,391,9513,9134,0.0,7,4
12,0.052,172,172,2627,2467,0.0,9,5
12,0.113,250,250,4534,4296,0.0,7,5
12,0.121,247,247,4953,4718,0.001,9,5
12,0.204,295,295,6572,6289,0.0,9,5
12,0.305,391,391,9513,9134,0.0,7,4
