Supplies,Demands,FullTime,GBTime,GBSize,MinGBSize,critPairs,ZeroRed
10,10,7065.345,1121128,0.0,4886,4886,4886
10,10,6993.489,1121128,0.0,4886,4886,4886
10,10,6988.749,1121128,0.0,4886,4886,4886
10,10,7006.466,1121128,0.0,4886,4886,4886
10,10,7247.32,1121128,0.0,4886,4886,4886

4,4,0.023,0.017,38,38,189,187
4,4,0.01,0.007,38,38,189,187
4,4,0.007,0.006,38,38,189,187
4,4,0.007,0.005,38,38,189,187
4,4,0.007,0.005,38,38,189,187
4,5,0.023,0.019,69,69,533,524
4,5,0.019,0.016,69,69,533,524
4,5,0.018,0.016,69,69,533,524
4,5,0.018,0.016,69,69,533,524
4,5,0.019,0.017,69,69,533,524
4,6,0.054,0.052,97,97,877,870
4,6,0.045,0.043,97,97,877,870
4,6,0.052,0.047,97,97,877,870
4,6,0.055,0.052,97,97,877,870
4,6,0.042,0.04,97,97,877,870
4,7,0.114,0.111,139,139,1609,1596
4,7,0.113,0.109,139,139,1609,1596
4,7,0.112,0.11,139,139,1609,1596
4,7,0.113,0.111,139,139,1609,1596
4,7,0.115,0.112,139,139,1609,1596
4,8,0.369,0.366,217,217,3546,3497
4,8,0.362,0.359,217,217,3546,3497
4,8,0.362,0.36,217,217,3546,3497
4,8,0.37,0.367,217,217,3546,3497
4,8,0.369,0.363,217,217,3546,3497
4,9,0.838,0.837,282,282,5508,5442
4,9,0.835,0.831,282,282,5508,5442
4,9,0.855,0.848,282,282,5508,5442
4,9,0.832,0.83,282,282,5508,5442
4,9,0.892,0.89,282,282,5508,5442
4,10,1.36,1.356,337,337,6906,6839
4,10,1.393,1.387,337,337,6906,6839
4,10,1.367,1.364,337,337,6906,6839
4,10,1.361,1.357,337,337,6906,6839
4,10,1.308,1.303,337,337,6906,6839
5,4,0.014,0.014,66,66,479,473
5,4,0.014,0.013,66,66,479,473
5,4,0.014,0.013,66,66,479,473
5,4,0.013,0.013,66,66,479,473
5,4,0.013,0.013,66,66,479,473
5,5,0.074,0.07,119,119,1315,1296
5,5,0.072,0.069,119,119,1315,1296
5,5,0.071,0.068,119,119,1315,1296
5,5,0.071,0.07,119,119,1315,1296
5,5,0.074,0.069,119,119,1315,1296
5,6,0.204,0.202,174,174,2381,2357
5,6,0.202,0.199,174,174,2381,2357
5,6,0.202,0.199,174,174,2381,2357
5,6,0.198,0.197,174,174,2381,2357
5,6,0.2,0.199,174,174,2381,2357
5,7,0.656,0.653,258,258,4531,4483
5,7,0.665,0.66,258,258,4531,4483
5,7,0.684,0.679,258,258,4531,4483
5,7,0.669,0.666,258,258,4531,4483
5,7,0.675,0.669,258,258,4531,4483
5,8,1.552,1.549,345,345,7218,7153
5,8,1.558,1.553,345,345,7218,7153
5,8,1.499,1.495,345,345,7218,7153
5,8,1.493,1.484,345,345,7218,7153
5,8,1.504,1.487,345,345,7218,7153
5,9,3.681,3.673,469,469,12368,12259
5,9,3.726,3.714,469,469,12368,12259
5,9,3.78,3.766,469,469,12368,12259
5,9,3.632,3.625,469,469,12368,12259
5,9,3.633,3.626,469,469,12368,12259
5,10,7.502,7.498,593,593,18124,17981
5,10,7.651,7.634,593,593,18124,17981
5,10,7.586,7.557,593,593,18124,17981
5,10,7.547,7.531,593,593,18124,17981
5,10,8.179,8.164,593,593,18124,17981
6,4,0.049,0.049,104,104,1002,988
6,4,0.051,0.047,104,104,1002,988
6,4,0.049,0.047,104,104,1002,988
6,4,0.05,0.048,104,104,1002,988
6,4,0.05,0.048,104,104,1002,988
6,5,0.31,0.303,200,200,3248,3198
6,5,0.305,0.302,200,200,3248,3198
6,5,0.304,0.3,200,200,3248,3198
6,5,0.304,0.302,200,200,3248,3198
6,5,0.305,0.303,200,200,3248,3198
6,6,0.575,0.57,246,246,3931,3910
6,6,0.595,0.593,246,246,3931,3910
6,6,0.581,0.577,246,246,3931,3910
6,6,0.573,0.567,246,246,3931,3910
6,6,0.602,0.597,246,246,3931,3910
6,7,3.322,3.313,440,440,12227,12102
6,7,3.271,3.266,440,440,12227,12102
6,7,3.457,3.448,440,440,12227,12102
6,7,3.204,3.197,440,440,12227,12102
6,7,3.226,3.217,440,440,12227,12102
6,8,7.129,7.118,570,570,17563,17413
6,8,6.956,6.951,570,570,17563,17413
6,8,6.921,6.918,570,570,17563,17413
6,8,6.909,6.904,570,570,17563,17413
6,8,6.873,6.864,570,570,17563,17413
6,9,23.199,23.195,835,835,36784,36489
6,9,22.763,22.748,835,835,36784,36489
6,9,22.96,22.944,835,835,36784,36489
6,9,23.487,23.472,835,835,36784,36489
6,9,23.44,23.406,835,835,36784,36489
6,10,40.388,40.369,1023,1023,49815,49467
6,10,39.584,39.565,1023,1023,49815,49467
6,10,39.303,39.252,1023,1023,49815,49467
6,10,39.715,39.706,1023,1023,49815,49467
6,10,38.807,38.778,1023,1023,49815,49467
7,4,0.098,0.094,132,132,1443,1437
7,4,0.096,0.094,132,132,1443,1437
7,4,0.095,0.093,132,132,1443,1437
7,4,0.095,0.094,132,132,1443,1437
7,4,0.095,0.093,132,132,1443,1437
7,5,0.605,0.601,252,252,4295,4253
7,5,0.601,0.596,252,252,4295,4253
7,5,0.607,0.596,252,252,4295,4253
7,5,0.605,0.598,252,252,4295,4253
7,5,0.606,0.597,252,252,4295,4253
7,6,2.994,2.991,428,428,11446,11333
7,6,3.002,2.994,428,428,11446,11333
7,6,2.993,2.988,428,428,11446,11333
7,6,2.984,2.979,428,428,11446,11333
7,6,2.994,2.989,428,428,11446,11333
7,7,13.022,13.016,700,700,28850,28591
7,7,13.215,13.21,700,700,28850,28591
7,7,13.157,13.152,700,700,28850,28591
7,7,13.16,13.155,700,700,28850,28591
7,7,13.17,13.165,700,700,28850,28591
7,8,29.323,29.298,912,912,42574,42250
7,8,29.335,29.324,912,912,42574,42250
7,8,29.123,29.112,912,912,42574,42250
7,8,29.134,29.119,912,912,42574,42250
7,8,29.164,29.133,912,912,42574,42250
7,9,63.501,63.49,1150,1150,61357,60963
7,9,63.884,63.848,1150,1150,61357,60963
7,9,63.137,63.124,1150,1150,61357,60963
7,9,63.319,63.312,1150,1150,61357,60963
7,9,63.97,63.955,1150,1150,61357,60963
7,10,230.744,230.72,1753,1753,150942,150134
7,10,236.132,236.117,1753,1753,150942,150134
7,10,227.223,227.213,1753,1753,150942,150134
7,10,227.016,227.008,1753,1753,150942,150134
7,10,227.664,227.645,1753,1753,150942,150134
8,4,0.25,0.25,189,189,2577,2556
8,4,0.234,0.234,189,189,2577,2556
8,4,0.25,0.25,189,189,2577,2556
8,4,0.25,0.234,189,189,2577,2556
8,4,0.236,0.236,189,189,2577,2556
8,5,1.078,1.078,313,313,5746,5713
8,5,1.082,1.082,313,313,5746,5713
8,5,1.081,1.081,313,313,5746,5713
8,5,1.078,1.078,313,313,5746,5713
8,5,1.079,1.079,313,313,5746,5713
8,6,6.691,6.691,576,576,17993,17837
8,6,6.715,6.7,576,576,17993,17837
8,6,6.696,6.696,576,576,17993,17837
8,6,6.707,6.707,576,576,17993,17837
8,6,6.707,6.707,576,576,17993,17837
8,7,29.59,29.561,908,908,41755,41435
8,7,29.63,29.617,908,908,41755,41435
8,7,29.539,29.537,908,908,41755,41435
8,7,29.596,29.571,908,908,41755,41435
8,7,29.528,29.512,908,908,41755,41435
8,8,132.674,132.629,1456,1456,111990,111318
8,8,132.258,132.235,1456,1456,111990,111318
8,8,132.482,132.468,1456,1456,111990,111318
8,8,132.211,132.192,1456,1456,111990,111318
8,8,131.96,131.948,1456,1456,111990,111318
8,9,215.692,215.646,1738,1738,137291,136561
8,9,215.287,215.261,1738,1738,137291,136561
8,9,215.275,215.255,1738,1738,137291,136561
8,9,215.506,215.471,1738,1738,137291,136561
8,9,215.2,215.137,1738,1738,137291,136561
8,10,876.175,876.125,2624,2624,324609,323245
8,10,873.582,873.579,2624,2624,324609,323245
8,10,878.955,878.91,2624,2624,324609,323245
8,10,876.029,875.98,2624,2624,324609,323245
8,10,874.625,874.612,2624,2624,324609,323245
9,4,0.5,0.484,235,235,3645,3626
9,4,0.484,0.469,235,235,3645,3626
9,4,0.472,0.472,235,235,3645,3626
9,4,0.5,0.485,235,235,3645,3626
9,4,0.483,0.467,235,235,3645,3626
9,5,4.877,4.877,520,520,15905,15745
9,5,4.888,4.872,520,520,15905,15745
9,5,4.884,4.884,520,520,15905,15745
9,5,4.877,4.877,520,520,15905,15745
9,5,4.9,4.884,520,520,15905,15745
9,6,15.366,15.352,749,749,27812,27603
9,6,15.349,15.321,749,749,27812,27603
9,6,15.329,15.32,749,749,27812,27603
9,6,15.338,15.322,749,749,27812,27603
9,6,15.349,15.303,749,749,27812,27603
9,7,82.253,82.247,1270,1270,78559,78045
9,7,82.258,82.249,1270,1270,78559,78045
9,7,82.289,82.261,1270,1270,78559,78045
9,7,82.286,82.235,1270,1270,78559,78045
9,7,82.397,82.378,1270,1270,78559,78045
9,8,321.319,321.307,1978,1978,192175,191205
9,8,322.862,322.852,1978,1978,192175,191205
9,8,320.476,320.452,1978,1978,192175,191205
9,8,321.945,321.923,1978,1978,192175,191205
9,8,322.285,322.247,1978,1978,192175,191205
9,9,1108.379,1108.179,2821,2821,382822,381297
9,9,1096.583,1096.475,2821,2821,382822,381297
9,9,1104.195,1104.139,2821,2821,382822,381297
9,9,1104.29,1104.214,2821,2821,382822,381297
9,9,1108.468,1108.421,2821,2821,382822,381297
9,10,3599.791,3599.66,4079,4077,849825,847366
9,10,3626.422,3626.353,4079,4077,849825,847366
9,10,3601.601,3601.56,4079,4077,849825,847366
9,10,3626.312,3626.247,4079,4077,849825,847366
9,10,3598.435,3598.405,4079,4077,849825,847366
10,4,1.401,1.401,343,343,7222,7149
10,4,1.404,1.404,343,343,7222,7149
10,4,1.403,1.403,343,343,7222,7149
10,4,1.4,1.4,343,343,7222,7149
10,4,1.402,1.402,343,343,7222,7149
10,5,6.073,6.057,553,553,15125,15022
10,5,6.068,6.052,553,553,15125,15022
10,5,6.075,6.075,553,553,15125,15022
10,5,6.076,6.061,553,553,15125,15022
10,5,6.072,6.056,553,553,15125,15022
10,6,45.313,45.308,1056,1056,54151,53770
10,6,45.408,45.385,1056,1056,54151,53770
10,6,45.276,45.261,1056,1056,54151,53770
10,6,45.272,45.257,1056,1056,54151,53770
10,6,45.317,45.286,1056,1056,54151,53770
10,7,222.481,222.456,1746,1746,147603,146802
10,7,223.098,223.058,1746,1746,147603,146802
10,7,222.442,222.409,1746,1746,147603,146802
10,7,222.322,222.285,1746,1746,147603,146802
10,7,222.433,222.428,1746,1746,147603,146802
10,8,799.847,799.815,2552,2552,298615,297323
10,8,798.329,798.308,2552,2552,298615,297323
10,8,798.543,798.467,2552,2552,298615,297323
10,8,796.776,796.753,2552,2552,298615,297323
10,8,799.561,799.507,2552,2552,298615,297323
10,9,2410.605,2410.568,3533,3532,581586,579673
10,9,2402.887,2402.847,3533,3532,581586,579673
10,9,2410.688,2410.622,3533,3532,581586,579673
10,9,2409.817,2409.78,3533,3532,581586,579673
10,9,2398.934,2398.88,3533,3532,581586,579673
