Problem,FullTime,GBSize,minGBSize,critPairs,zeroRed,maxDeg
10,0.091,113,113,1998,1895,5
10,0.125,138,135,3292,3164,5
10,0.147,132,131,3321,3199,8
10,0.053,99,99,1588,1499,7
10,0.212,152,151,4883,4741,9
10,0.058,113,113,1998,1895,5
10,0.108,138,135,3292,3164,5
10,0.129,132,131,3321,3199,8
10,0.051,99,99,1588,1499,7
10,0.209,152,151,4883,4741,9
10,0.056,113,113,1998,1895,5
10,0.107,138,135,3292,3164,5
10,0.13,132,131,3321,3199,8
10,0.052,99,99,1588,1499,7
10,0.211,152,151,4883,4741,9
10,0.056,113,113,1998,1895,5
10,0.106,138,135,3292,3164,5
10,0.127,132,131,3321,3199,8
10,0.05,99,99,1588,1499,7
10,0.211,152,151,4883,4741,9
10,0.055,113,113,1998,1895,5
10,0.105,138,135,3292,3164,5
10,0.128,132,131,3321,3199,8
10,0.051,99,99,1588,1499,7
10,0.211,152,151,4883,4741,9
10,0.056,113,113,1998,1895,5
10,0.106,138,135,3292,3164,5
10,0.128,132,131,3321,3199,8
10,0.049,99,99,1588,1499,7
10,0.21,152,151,4883,4741,9
10,0.055,113,113,1998,1895,5
10,0.106,138,135,3292,3164,5
10,0.126,132,131,3321,3199,8
10,0.05,99,99,1588,1499,7
10,0.215,152,151,4883,4741,9
